comName,State Status,Abundance,Sort as,atlasUrl
Downy Woodpecker,,,,https://vabirdatlas.org/species-account/downy-woodpecker/
Red-cockaded Woodpecker,,Rare,,https://vabirdatlas.org/species-account/red-cockaded-woodpecker/
Hairy Woodpecker,,,,https://vabirdatlas.org/species-account/hairy-woodpecker/
Northern Flicker,,,,https://vabirdatlas.org/species-account/northern-flicker/
Pileated Woodpecker,,,,https://vabirdatlas.org/species-account/pileated-woodpecker/
Crested Caracara,,Accidental,,
American Kestrel,,,,https://vabirdatlas.org/species-account/american-kestrel/
Merlin,,,,https://vabirdatlas.org/species-account/merlin/
Merlin (Taiga),,,,
Merlin (Prairie),,,,
Gyrfalcon,,Accidental,,
Peregrine Falcon,,,,https://vabirdatlas.org/species-account/peregrine-falcon/
Prairie Falcon,,Accidental,,
Monk Parakeet,6,,,
Ash-throated Flycatcher,,Occasional,,
Great Crested Flycatcher,,,,https://vabirdatlas.org/species-account/great-crested-flycatcher/
Tropical Kingbird,,Accidental,,
Couch's Kingbird,,Accidental,,
Western Kingbird,,Occasional,,
Eastern Kingbird,,,,https://vabirdatlas.org/species-account/eastern-kingbird/
Gray Kingbird,,Rare,,
Scissor-tailed Flycatcher,,Rare,,
Fork-tailed Flycatcher,,Rare,,
Olive-sided Flycatcher,,,,
Western Wood-Pewee,,Accidental,,
Eastern Wood-Pewee,,,,https://vabirdatlas.org/species-account/eastern-wood-pewee/
Yellow-bellied Flycatcher,,,,
Acadian Flycatcher,,,,https://vabirdatlas.org/species-account/acadian-flycatcher/
Alder Flycatcher,,,,https://vabirdatlas.org/species-account/alder-flycatcher/
Willow Flycatcher,,,,https://vabirdatlas.org/species-account/willow-flycatcher/
Least Flycatcher,,,,https://vabirdatlas.org/species-account/least-flycatcher/
Dusky Flycatcher,,Accidental,,
Western Flycatcher,,Accidental,,
Eastern Phoebe,,,,https://vabirdatlas.org/species-account/eastern-phoebe/
Say's Phoebe,,Rare,,
Vermilion Flycatcher,,Accidental,,
White-eyed Vireo,,,,https://vabirdatlas.org/species-account/white-eyed-vireo/
Bell's Vireo,,Accidental,,
Yellow-throated Vireo,,,,https://vabirdatlas.org/species-account/yellow-throated-vireo/
Blue-headed Vireo,,,,https://vabirdatlas.org/species-account/blue-headed-vireo/
Philadelphia Vireo,,,,
Eastern Warbling Vireo,,,,https://vabirdatlas.org/species-account/eastern-warbling-vireo/
Red-eyed Vireo,,,,https://vabirdatlas.org/species-account/red-eyed-vireo/
Black-whiskered Vireo,,Accidental,,
Loggerhead Shrike,,,,https://vabirdatlas.org/species-account/loggerhead-shrike/
Northern Shrike,,Rare,,
Blue Jay,,,,https://vabirdatlas.org/species-account/blue-jay/
Black-billed Magpie,,Accidental,,
American Crow,,,,https://vabirdatlas.org/species-account/american-crow/
Fish Crow,,,,https://vabirdatlas.org/species-account/fish-crow/
Common Raven,,,,https://vabirdatlas.org/species-account/common-raven/
Carolina Chickadee,,,,https://vabirdatlas.org/species-account/carolina-chickadee/
Black-capped Chickadee,,,,https://vabirdatlas.org/species-account/black-capped-chickadee/
Boreal Chickadee,2,Accidental,,
